# FeNi Alloys
# Fe-2.25 Ni, Fe-3.5 Ni, Fe-5.0 Ni, Fe-9.0 Ni
# Thermal Conductivity (in W m-1 K-1)
4	1.119	0.9289	0.7754	0.6256
6	1.787	1.455	1.223	0.9814
8	2.46	1.999	1.679	1.349
10	3.137	2.535	2.138	1.716
12	3.809	3.064	2.599	2.08
14	4.47	3.588	3.061	2.443
16	5.121	4.107	3.523	2.804
18	5.76	4.624	3.983	3.163
20	6.39	5.139	4.442	3.521
30	9.423	7.678	6.691	5.293
40	12.28	10.11	8.825	7.022
50	14.96	12.4	10.82	8.688
60	17.42	14.52	12.68	10.28
70	19.67	16.47	14.39	11.79
80	21.71	18.25	15.98	13.21
90	23.56	19.89	17.44	14.55
100	25.23	21.38	18.79	15.81
120	28.14	24.01	21.19	18.09
140	30.56	26.23	23.24	20.07
160	32.62	28.1	24.98	21.77
180	34.36	29.69	26.47	23.23
200	35.84	31.01	27.72	24.46
220	37.06	32.1	28.78	25.49
240	38.01	32.98	29.64	26.32
260	38.7	33.65	30.35	26.98
280	39.09	34.13	30.9	27.48
300	39.17	34.43	31.32	27.83
